Time (s),R_coordinates (px),Delta_x (px),Delta_y (px),Delta_x (mm),Delta_y (mm)
0.0,"[(52.82692, 79.25244), (79.17669, 77.35457), (105.7556, 75.30293), (132.23227, 73.39153), (158.99797, 71.40826), (185.44896, 69.46316)]",0.0,0.0,0.0,0.0
0.00025,"[(52.81024, 79.22955), (79.12521, 77.34618), (105.78931, 75.31819), (132.2352, 73.39461), (158.99797, 71.40826), (185.45244, 69.49287)]",-0.004673004150390625,-0.0027949015299479165,-0.00027067743049434176,-0.00016189088223852058
0.0005,"[(52.812103, 79.28596), (79.15256, 77.36569), (105.78073, 75.32144), (132.2552, 73.402), (158.98996, 71.43587), (185.44606, 69.45899)]",0.004374186197916667,-0.0133819580078125,0.00025336880568722057,-0.0007751317764686945
0.00075,"[(52.807117, 79.22875), (79.16937, 77.35897), (105.7556, 75.30293), (132.23322, 73.39208), (158.99939, 71.40646), (185.44724, 69.46281)]",-0.0041141510009765625,0.019657135009765625,-0.00023830661941889598,0.0011386128974182391
0.001,"[(52.830994, 79.2537), (79.11378, 77.358955), (105.78778, 75.2908), (132.26056, 73.37262), (158.99797, 71.40826), (185.45268, 69.49276)]",0.0053056081136067705,-0.004180908203125,0.00030732015747963017,-0.00024217343985452944
0.00125,"[(52.828064, 79.254814), (79.14389, 77.37827), (105.79266, 75.281876), (132.23605, 73.39174), (158.9921, 71.43645), (185.4489, 69.46211)]",-0.0003496805826822917,-0.004694620768229167,-2.0254773710460947e-05,-0.00027192954377826115
0.0015,"[(52.786533, 79.22752), (79.141106, 77.37842), (105.78897, 75.28189), (132.23396, 73.38939), (158.98996, 71.43587), (185.4292, 69.432076)]",-0.011988957722981771,0.010016123453776041,-0.0006944441233784766,0.000580170372790185
0.00175,"[(52.801212, 79.19603), (79.12521, 77.34618), (105.78832, 75.29336), (132.23976, 73.40256), (158.99355, 71.40137), (185.44606, 69.45899)]",0.004063924153645833,0.007779439290364583,0.00023539729737684793,0.00045061347476581845
0.002,"[(52.807068, 79.25322), (79.14389, 77.37827), (105.78516, 75.31604), (132.22926, 73.424706), (158.99321, 71.43897), (185.44536, 69.45744)]",0.0016384124755859375,-0.028361002604166668,9.490282154883247e-05,-0.001642772628502258
0.0022500000000000003,"[(52.794163, 79.19553), (79.14389, 77.37827), (105.78073, 75.32144), (132.25957, 73.40372), (158.99554, 71.402725), (185.45244, 69.49287)]",0.003731409708658854,0.012349446614583334,0.00021613684892126417,0.0007153249537308972
0.0025000000000000005,"[(52.84846, 79.2256), (79.17311, 77.38848), (105.76095, 75.26991), (132.26851, 73.38026), (158.99321, 71.43897), (185.44733, 69.46511)]",0.01087188720703125,0.004370371500651042,0.0006297393280888767,0.0002531478445194701
0.0027500000000000007,"[(52.82538, 79.25488), (79.11026, 77.39268), (105.79327, 75.28379), (132.23396, 73.38939), (158.99431, 71.43694), (185.44473, 69.460686)]",-0.014942804972330729,-0.00833892822265625,-0.0008655417209399339,-0.000483021112702556
0.003000000000000001,"[(52.83275, 79.253586), (79.11086, 77.35908), (105.75364, 75.30465), (132.22926, 73.424706), (158.99797, 71.40826), (185.44792, 69.45839)]",-0.004917144775390625,0.001617431640625,-0.00028481894523037265,9.368753512620482e-05
0.003250000000000001,"[(52.82301, 79.22291), (79.11026, 77.39268), (105.7556, 75.30293), (132.23227, 73.39153), (158.99687, 71.40366), (185.44104, 69.45722)]",-0.0022258758544921875,0.006287892659505208,-0.00012893084138240686,0.00036421765817537955
0.0035000000000000014,"[(52.81022, 79.28133), (79.141106, 77.37842), (105.75644, 75.27513), (132.26233, 73.3704), (158.99486, 71.40686), (185.44812, 69.46385)]",0.009003321329752604,-0.0008417765299479166,0.0005215051827524317,-4.875876435027326e-05
0.0037500000000000016,"[(52.829613, 79.253006), (79.14389, 77.37827), (105.79246, 75.288055), (132.2333, 73.3899), (158.99837, 71.40455), (185.44722, 69.46135)]",0.005297342936197917,0.00014241536458333334,0.0003068414082828375,8.249216929351368e-06
0.004000000000000002,"[(52.83275, 79.253586), (79.15529, 77.36557), (105.75197, 75.302895), (132.23312, 73.42456), (158.99532, 71.437836), (185.44559, 69.4633)]",-0.005137125651041667,-0.012102762858072916,-0.00029756103923731723,-0.0007010361315496992
0.004250000000000002,"[(52.82952, 79.25563), (79.14389, 77.37827), (105.813354, 75.33291), (132.23495, 73.38687), (158.9943, 71.40608), (185.45598, 69.495125)]",0.009660085042317709,-0.001190185546875,0.0005595473304668067,-6.893988433815072e-05
0.004500000000000002,"[(52.83275, 79.253586), (79.141106, 77.37842), (105.78132, 75.32413), (132.26442, 73.3725), (158.99321, 71.43897), (185.4487, 69.463295)]",-0.0017484029134114583,0.003999074300130208,-0.00010127386855230474,0.00023164095752508973
0.0047500000000000025,"[(52.828064, 79.254814), (79.144485, 77.34724), (105.75456, 75.3032), (132.23387, 73.42379), (158.99268, 71.43429), (185.44722, 69.46135)]",-0.010103861490885416,0.0010363260904947917,-0.0005852524796484462,6.00277839055479e-05
0.005000000000000003,"[(52.808884, 79.22869), (79.18725, 77.3755), (105.75364, 75.30465), (132.26245, 73.37483), (158.99507, 71.43566), (185.44981, 69.46257)]",0.009371439615885416,0.007128397623697917,0.0005428279354403534,0.00041290276880306937
0.005250000000000003,"[(52.805088, 79.22641), (79.144684, 77.40514), (105.75735, 75.27046), (132.23291, 73.424706), (158.99207, 71.43928), (185.44942, 69.46134)]",-0.012599309285481771,-0.007572174072265625,-0.0007297979102185539,-0.0004386079179847089
0.005500000000000003,"[(52.83075, 79.25538), (79.14557, 77.3689), (105.81887, 75.26518), (132.26233, 73.3704), (158.99532, 71.437836), (185.44722, 69.46135)]",0.01975695292154948,0.011383056640625,0.0011443947146410436,0.0006593481245674415
0.005750000000000003,"[(52.812103, 79.28596), (79.12521, 77.34618), (105.75792, 75.27308), (132.22926, 73.424706), (158.99121, 71.40069), (185.44614, 69.45645)]",-0.023034413655598957,-0.004670461018880208,-0.0013342371846,-0.00027053012304917474
0.006000000000000004,"[(52.81962, 79.225655), (79.141106, 77.37842), (105.75306, 75.30198), (132.23409, 73.42364), (158.99391, 71.40634), (185.45268, 69.49276)]",0.005435943603515625,-0.006954193115234375,0.00031486966404443837,-0.00040281220880913064
0.006250000000000004,"[(52.79966, 79.19623), (79.113144, 77.39251), (105.756165, 75.30555), (132.23677, 73.39062), (158.99695, 71.40283), (185.44728, 69.45881)]",-0.007415771484375,0.013707478841145834,-0.0004295485101069391,0.0007939871294500692
0.006500000000000004,"[(52.82538, 79.25488), (79.17311, 77.38848), (105.756165, 75.30555), (132.22945, 73.391754), (158.99107, 71.438385), (185.4503, 69.4895)]",0.012584686279296875,-0.020334879557291668,0.0007289508924088437,-0.0011778703315552417
0.006750000000000004,"[(52.806297, 79.22817), (79.14389, 77.37827), (105.75364, 75.30465), (132.23413, 73.39367), (158.99039, 71.43367), (185.45274, 69.49023)]",-0.007397969563802083,0.006649017333984375,-0.0004285173579907701,0.000385135315389092
0.0070000000000000045,"[(52.82538, 79.25488), (79.14008, 77.345), (105.75815, 75.30326), (132.23227, 73.39153), (158.99316, 71.43725), (185.44827, 69.46056)]",0.002704620361328125,0.006028493245442708,0.0001566614679350925,0.0003491922987683467
0.007250000000000005,"[(52.814426, 79.16269), (79.14481, 77.34482), (105.75214, 75.301025), (132.26837, 73.413635), (158.99391, 71.40634), (185.4453, 69.45992)]",0.0036067962646484375,0.017342885335286457,0.00020891878410808174,0.0010045631223162795
0.007500000000000005,"[(52.80513, 79.2258), (79.11086, 77.35908), (105.728874, 75.27639), (132.23108, 73.38871), (158.99329, 71.40216), (185.41776, 69.47335)]",-0.021994908650716145,-0.006175994873046875,-0.0012740252663879935,-0.0003577361305880321
0.007750000000000005,"[(52.794765, 79.19308), (79.078896, 77.37021), (105.75896, 75.270355), (132.20654, 73.363625), (158.99121, 71.40069), (185.42587, 69.43241)]",-0.0051237742106119795,0.0158538818359375,-0.0002967876751501905,0.0009183146131710076
0.008000000000000005,"[(52.76487, 79.167854), (79.10814, 77.35441), (105.73534, 75.241844), (132.22516, 73.38538), (158.99391, 71.40634), (185.42393, 69.42442)]",-0.0008157094319661459,0.008351643880208334,-4.724886303731163e-05,0.00048375764992839097
0.008250000000000006,"[(52.782963, 79.13936), (79.104294, 77.30735), (105.73538, 75.238304), (132.19032, 73.32273), (158.98033, 71.38354), (185.4209, 69.422554)]",-0.0061931610107421875,0.027736663818359375,-0.00035873045584290924,0.0016066086507137624
0.008500000000000006,"[(52.783066, 79.13406), (79.112946, 77.29419), (105.73268, 75.23508), (132.1749, 73.306755), (158.96194, 71.32884), (185.36627, 69.38312)]",-0.013731002807617188,0.02196502685546875,-0.0007953497233178638,0.0012722944039072815
0.008750000000000006,"[(52.77896, 79.1296), (79.11042, 77.29431), (105.711136, 75.21182), (132.2143, 73.253), (158.89561, 71.28444), (185.33533, 69.377426)]",-0.014341990152994791,0.021907806396484375,-0.0008307403370192328,0.0012689799863910241
