Filename,Sequence #,Rotor,Actuation duration (s),Voltage (V),Phase diff (deg),Freq (Hz),Avg velocity (mm/s),Avg velocity (rpm),Avg velocity (rad/s),Average max torque (mN.m),Pmech (mW)
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_40deg_2.5V_5_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,40,70,0.9754463521285567,0.3104942173244347,0.03251487840428522,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_40deg_2.5V_5_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,40,70,0.6894268526295023,0.21945138299254593,0.022980895087650076,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_40deg_2.5V_5_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,40,70,1.8968406368861428,0.6037831272360172,0.06322802122953809,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_40deg_2.5V_5_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,40,70,2.4899188002060355,0.7925657699004639,0.08299729334020119,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_50deg_2.5V_6_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,50,70,2.679892126670326,0.8530361578252683,0.08932973755567754,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_50deg_2.5V_6_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,50,70,2.8921091974326476,0.9205869494658804,0.0964036399144216,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_50deg_2.5V_6_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,50,70,1.2504068498674634,0.39801686206474457,0.04168022832891545,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_50deg_2.5V_6_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,50,70,3.517562623540507,1.119674958343535,0.11725208745135024,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_50deg_2.5V_6_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,50,70,3.136232737573187,0.9982938857427995,0.10454109125243957,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_60deg_2.5V_7_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,60,70,3.53768734225553,1.1260808552671948,0.11792291140851767,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_60deg_2.5V_7_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,60,70,4.263360174815034,1.3570696920058796,0.1421120058271678,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_60deg_2.5V_7_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,60,70,1.5154137929245757,0.48237119194716827,0.050513793097485854,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_60deg_2.5V_7_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,60,70,5.7346644546451735,1.8254003898603355,0.1911554818215058,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_60deg_2.5V_7_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,60,70,2.974353832657937,0.9467662299436695,0.09914512775526457,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_70deg_2.5V_8_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,70,70,4.398618336682134,1.4001237021152249,0.14662061122273778,3.244457093749304,0.4757042821714704
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_70deg_2.5V_8_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,70,70,3.631429145270609,1.155919797915588,0.12104763817568696,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_270deg_2.5V_28_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,270,70,-0.034580680779093216,-0.01100737256295116,-0.0011526893593031072,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_140deg_2.5V_15_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,140,70,9.941961395305478,3.164624600183328,0.33139871317684927,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_240deg_2.5V_25_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,240,70,-0.139759434584798,-0.04448680971579799,-0.004658647819493267,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_70deg_2.5V_8_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,70,70,4.632793002186871,1.4746638132391647,0.15442643340622902,0.0,0.0
