Filename,Sequence #,Rotor,Actuation duration (s),Voltage (V),Phase diff (deg),Freq (Hz),Avg velocity (mm/s),Avg velocity (rpm),Avg velocity (rad/s),Average max torque (mN.m),Pmech (mW)
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_200deg_2.5V_21_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,200,70,-0.47003433780911863,-0.149616576570494,-0.015667811260303956,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_100deg_2.5V_11_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,100,70,6.632959221599627,2.1113364948891022,0.22109864071998758,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_350deg_2.5V_36_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,350,70,-0.02033208543656658,-0.006471903801192618,-0.000677736181218886,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_190deg_2.5V_20_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,190,70,1.0955339980726508,0.3487193022369787,0.036517799935755026,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_340deg_2.5V_35_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,340,70,-1.389253125938525,-0.4422130043979674,-0.04630843753128417,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_90deg_2.5V_10_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,90,70,3.5337358778466927,1.1248230650809585,0.1177911959282231,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_180deg_2.5V_19_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,180,70,2.004047254027365,0.6379080533363888,0.06680157513424549,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_330deg_2.5V_34_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,330,70,-2.4746539676503905,-0.7877068227870619,-0.08248846558834635,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_80deg_2.5V_9_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,80,70,2.3194169228469814,0.7382933367241807,0.07731389742823272,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_170deg_2.5V_18_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,170,70,3.55107352652447,1.1303418100582763,0.11836911755081567,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_320deg_2.5V_33_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,320,70,-2.980995451273826,-0.9488803228093693,-0.09936651504246087,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_70deg_2.5V_8_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,70,70,1.8839957052575178,0.599694458511271,0.06279985684191726,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_160deg_2.5V_17_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,160,70,5.131236895824856,1.6333234322920775,0.17104122986082854,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_310deg_2.5V_32_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,310,70,-0.5742037956305387,-0.1827747448334574,-0.019140126521017955,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_60deg_2.5V_7_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,60,70,1.5672632029119316,0.4988753717389402,0.052242106763731054,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_150deg_2.5V_16_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,150,70,6.328240303882764,2.0143414508725996,0.2109413434627588,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_300deg_2.5V_31_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,300,70,-3.402312655945529,-1.0829897542756919,-0.11341042186485097,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_50deg_2.5V_6_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,50,70,1.520572869006616,0.484013376867656,0.05068576230022053,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_140deg_2.5V_15_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,140,70,7.754495406128448,2.4683325501374744,0.25848318020428157,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_290deg_2.5V_30_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,290,70,-4.380262199992013,-1.3942807623346183,-0.14600873999973377,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_40deg_2.5V_5_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,40,70,6.464831611847576,2.0578198145645743,0.21549438706158588,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_130deg_2.5V_14_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,130,70,10.073916473625303,3.2066272061446845,0.3357972157875101,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_280deg_2.5V_29_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,280,70,-4.585578233562693,-1.4596348856122086,-0.1528526077854231,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_30deg_2.5V_4_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,30,70,5.695876474590422,1.8130537923438084,0.18986254915301407,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_120deg_2.5V_13_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,120,70,10.443504954242659,3.3242708733448354,0.3481168318080886,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_270deg_2.5V_28_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,270,70,-3.872988598031177,-1.232810559830423,-0.12909961993437255,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_20deg_2.5V_3_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,20,70,3.8122178960205395,1.213466644590108,0.1270739298673513,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_110deg_2.5V_12_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,110,70,12.185252255147342,3.8786862584567294,0.4061750751715781,2.8052132854049296,1.1394077170716568
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_260deg_2.5V_27_5_rot.csv,5,PMMA-5mm,1.2sec,2.5,260,70,-5.162677408747395,-1.6433312583820106,-0.17208924695824648,-2.206737479159589,0.3797557910231128
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_10deg_2.5V_2_4_rot.csv,4,PMMA-5mm,1.2sec,2.5,10,70,2.3197662540372037,0.7384045322955808,0.07732554180124013,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-5mm_1.2sec_70Hz_100deg_2.5V_11_2_rot.csv,2,PMMA-5mm,1.2sec,2.5,100,70,11.489680070819277,3.6572787556306525,0.3829893356939759,0.0,0.0
