Time (s),R_coordinates (px),Delta_x (px),Delta_y (px),Delta_x (mm),Delta_y (mm)
0.0,"[(39.054375, 70.26552), (65.19155, 67.89641), (91.77052, 65.35541), (118.204254, 62.99757), (144.90022, 60.82926), (171.27097, 58.302948)]",0.0,0.0,0.0,0.0
0.00025,"[(39.056927, 70.26216), (65.19251, 67.893875), (91.759224, 65.36304), (118.19953, 62.995987), (144.86844, 60.821922), (171.26666, 58.303116)]",-0.008099238077799479,0.0011692047119140625,-0.00046860875397648836,6.764828468190298e-05
0.0005,"[(39.056698, 70.256935), (65.19155, 67.89641), (91.769905, 65.3596), (118.198814, 63.063137), (144.89696, 60.800316), (171.26529, 58.30463)]",0.005986531575520833,-0.0068206787109375,0.00034637098888787304,-0.0003946333866598451
0.00075,"[(39.055523, 70.2605), (65.19155, 67.89641), (91.771454, 65.35815), (118.1968, 62.995872), (144.8981, 60.80285), (171.26344, 58.304234)]",-0.0003903706868489583,0.010502497355143229,-2.258621359145646e-05,0.0006076574304841519
0.001,"[(39.056698, 70.256935), (65.195366, 67.89536), (91.77078, 65.35209), (118.1857, 63.07239), (144.89813, 60.80048), (171.24135, 58.328888)]",-0.004807790120442708,-0.014689763387044271,-0.000278170923743638,-0.0008499258388120547
0.00125,"[(39.090954, 70.25259), (65.19231, 67.89631), (91.759224, 65.36304), (118.183395, 63.02709), (144.89844, 60.7964), (171.26775, 58.33754)]",0.0073394775390625,0.00553131103515625,0.00042465024381070583,0.000320032668152559
0.0015,"[(39.07749, 70.259796), (65.19366, 67.8987), (91.77407, 65.39037), (118.21071, 63.029644), (144.86996, 60.789024), (171.28438, 58.334743)]",0.0030345916748046875,-0.004886627197265625,0.00017557654311404185,-0.0002827323088989159
0.00175,"[(39.059624, 70.25806), (65.19274, 67.90115), (91.77601, 65.391136), (118.19037, 63.03647), (144.86964, 60.788418), (171.26587, 58.307293)]",-0.009335835774739584,0.003292083740234375,-0.0005401562872588708,0.0001904746155970058
0.002,"[(39.058224, 70.25879), (65.19161, 67.9006), (91.76817, 65.35784), (118.18522, 63.029453), (144.86938, 60.78697), (171.26372, 58.303173)]",-0.002987543741861979,0.0076173146565755205,-0.00017285442616653732,0.0004407254479466447
0.0022500000000000003,"[(39.058655, 70.261665), (65.19073, 67.90085), (91.761246, 65.36844), (118.210014, 63.027096), (144.83743, 60.777832), (171.26857, 58.301727)]",-0.0016142527262369792,-0.00013097127278645834,-9.339803959072957e-05,-7.57778501602611e-06
0.0025000000000000005,"[(39.09099, 70.24642), (65.19155, 67.89641), (91.77659, 65.389885), (118.19638, 63.058453), (144.89642, 60.83492), (171.23204, 58.321766)]",0.009554545084635416,-0.018374125162760418,0.0005528104525283513,-0.0010630970240929833
0.0027500000000000007,"[(39.059647, 70.26051), (65.19322, 67.89846), (91.76964, 65.350914), (118.1968, 62.995872), (144.9013, 60.80015), (171.2754, 58.32888)]",0.0020078023274739585,0.018843332926432293,0.00011616818000296337,0.0010902446228397177
0.003000000000000001,"[(39.09003, 70.25144), (65.19389, 67.898285), (91.77048, 65.35885), (118.183395, 63.02709), (144.87175, 60.81473), (171.2676, 58.309406)]",-0.003146489461263021,-0.004168192545572917,-0.00018205076720540395,-0.0002411648474032387
0.003250000000000001,"[(39.058636, 70.2592), (65.18898, 67.8942), (91.7663, 65.35294), (118.211754, 63.02943), (144.86908, 60.81251), (171.2828, 58.331223)]",6.866455078125e-05,-0.003285090128580729,3.972819328790388e-06,-0.00019006997659129566
0.0035000000000000014,"[(39.088787, 70.247246), (65.19418, 67.895935), (91.771805, 65.35634), (118.19772, 62.99352), (144.90094, 60.80006), (171.2846, 58.333138)]",0.010082244873046875,0.008879343668619791,0.0005833423047773886,0.0005137443957952458
0.0037500000000000016,"[(39.056698, 70.256935), (65.19418, 67.895935), (91.776344, 65.35774), (118.199, 63.058353), (144.89784, 60.822693), (171.26599, 58.3082)]",-0.007998148600260416,-0.012270609537760416,-0.0004627598810757692,-0.0007099575282005044
0.004000000000000002,"[(39.055706, 70.26009), (65.19357, 67.901), (91.76844, 65.35598), (118.211754, 63.02943), (144.91002, 60.803757), (171.27289, 58.3288)]",0.0037206013997395835,0.0034662882486979165,0.00021526795103779027,0.00020055380537560363
0.004250000000000002,"[(39.090885, 70.24384), (65.192154, 67.89785), (91.771675, 65.3566), (118.197525, 63.053745), (144.8929, 60.83614), (171.26604, 58.303368)]",-0.00020090738932291666,-0.0020802815755208335,-1.1624175073127429e-05,-0.00012036171151668656
