Filename,Sequence #,Rotor,Actuation duration (s),Voltage (V),Phase diff (deg),Freq (Hz),Avg velocity (mm/s),Avg velocity (rpm),Avg velocity (rad/s),Average max torque (mN.m),Pmech (mW)
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_100deg_2.5V_11_1_rot.csv,1,PMMA-3mm,1.2sec,2.5,100,70,7.9096742273222445,2.5177275030498065,0.26365580757740814,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_250deg_2.5V_26_4_rot.csv,4,PMMA-3mm,1.2sec,2.5,250,70,-11.49105910507468,-3.6577177158675336,-0.3830353035024893,-1.4678555202728343,0.5622404847055095
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_350deg_2.5V_36_2_rot.csv,2,PMMA-3mm,1.2sec,2.5,350,70,0.06423927655412225,0.02044799680847171,0.0021413092184707416,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_240deg_2.5V_25_4_rot.csv,4,PMMA-3mm,1.2sec,2.5,240,70,-10.605543058382269,-3.3758492038309518,-0.35351810194607564,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_340deg_2.5V_35_2_rot.csv,2,PMMA-3mm,1.2sec,2.5,340,70,-0.21171678956636006,-0.06739154719006564,-0.007057226318878669,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_90deg_2.5V_10_1_rot.csv,1,PMMA-3mm,1.2sec,2.5,90,70,7.39377194281819,2.353510705587363,0.24645906476060633,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_330deg_2.5V_34_2_rot.csv,2,PMMA-3mm,1.2sec,2.5,330,70,-0.766827440218224,-0.24408875521847045,-0.0255609146739408,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_230deg_2.5V_24_4_rot.csv,4,PMMA-3mm,1.2sec,2.5,230,70,-8.866516043891558,-2.822299712777876,-0.29555053479638527,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_80deg_2.5V_9_1_rot.csv,1,PMMA-3mm,1.2sec,2.5,80,70,6.884117995005836,2.191282815466093,0.22947059983352786,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_320deg_2.5V_33_2_rot.csv,2,PMMA-3mm,1.2sec,2.5,320,70,-1.4374722503251616,-0.4575616283933597,-0.04791574167750538,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_220deg_2.5V_23_4_rot.csv,4,PMMA-3mm,1.2sec,2.5,220,70,-5.821634038025312,-1.8530836680475191,-0.19405446793417708,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_70deg_2.5V_8_1_rot.csv,1,PMMA-3mm,1.2sec,2.5,70,70,6.550979891094916,2.0852416635267246,0.21836599636983053,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-3mm_1.2sec_70Hz_310deg_2.5V_32_2_rot.csv,2,PMMA-3mm,1.2sec,2.5,310,70,-2.901167353942934,-0.9234702502337047,-0.09670557846476448,0.0,0.0
