Time (s),R_coordinates (px),Delta_x (px),Delta_y (px),Delta_x (mm),Delta_y (mm)
0.005500000000000003,"[(42.306225, 81.159424), (68.66367, 79.0435), (95.18829, 77.01653), (121.82537, 74.80436), (148.19084, 72.54045), (174.9673, 70.287544)]",-0.0052433013916015625,-0.0073394775390625,-0.00030359098151389914,-0.00042496111199180934
0.005750000000000003,"[(42.29162, 81.17509), (68.68526, 79.057465), (95.14157, 77.01859), (121.82538, 74.80563), (148.19069, 72.473045), (174.92917, 70.30539)]",-0.013003667195638021,0.0027669270833333335,-0.0007529218315634508,0.00016020709973911594
0.006000000000000004,"[(42.290573, 81.17764), (68.65996, 79.04155), (95.12126, 77.01394), (121.81002, 74.810585), (148.18388, 72.50624), (174.93137, 70.30295)]",-0.011103312174479166,-0.002948760986328125,-0.0006428898873722244,-0.00017073541557675084
0.006250000000000004,"[(42.237026, 81.16724), (68.66142, 79.0418), (95.10803, 77.021355), (121.8271, 74.801865), (148.19647, 72.493546), (174.92958, 70.30418)]",-0.0062376658121744795,0.0038210550944010415,-0.00036116540798264397,0.00022124188176288756
0.006500000000000004,"[(42.225433, 81.1801), (68.64313, 79.00993), (95.1451, 77.01334), (121.743355, 74.79236), (148.18295, 72.50542), (174.92677, 70.30421)]",-0.015481948852539062,0.004103342692057292,-0.0008964161502176499,0.00023758653991641873
0.006750000000000004,"[(42.236465, 81.15651), (68.67711, 78.92673), (95.09973, 76.98384), (121.77819, 74.78662), (148.18854, 72.47191), (174.92613, 70.30034)]",0.006570180257161458,0.029902140299479168,0.00038041823729412314,0.001731355770893865
0.0070000000000000045,"[(42.22496, 81.1221), (68.624855, 78.96728), (95.09548, 76.97867), (121.82019, 74.71365), (148.206, 72.41958), (174.92805, 70.26163)]",-0.0011049906412760417,0.027173360188802082,-6.397976547485834e-05,0.001573357408743064
0.007250000000000005,"[(42.221474, 81.12005), (68.59842, 78.90852), (95.05584, 76.91702), (121.81365, 74.67786), (148.18477, 72.41136), (174.92842, 70.25492)]",-0.016160329182942707,0.02886199951171875,-0.0009356948669965185,0.0016711308593191422
0.007500000000000005,"[(42.221905, 81.1163), (68.59602, 78.90085), (95.04941, 76.86235), (121.82081, 74.62475), (148.18645, 72.371895), (174.88107, 70.20741)]",-0.007818222045898438,0.03436279296875,-0.0004526807687251628,0.0019896308195541676
0.007750000000000005,"[(42.22107, 81.09962), (68.59823, 78.898994), (95.08911, 76.802986), (121.74899, 74.55575), (148.1504, 72.37391), (174.86023, 70.167114)]",-0.014604568481445312,0.030864715576171875,-0.0008456151856864044,0.0017870895827056805
0.008000000000000005,"[(42.219658, 81.01553), (68.55428, 78.86512), (95.071495, 76.71204), (121.7658, 74.49497), (148.15146, 72.2863), (174.80034, 70.12501)]",-0.017500559488932293,0.06656519571940105,-0.001013295180932653,0.0038541734670234284
0.008250000000000006,"[(42.255924, 80.96928), (68.52917, 78.74969), (95.00543, 76.68184), (121.67231, 74.45328), (148.11896, 72.26643), (174.75299, 70.06775)]",-0.03804206848144531,0.051785786946614586,-0.0022026635599471512,0.0029984349007239133
0.008500000000000006,"[(42.11277, 80.8007), (68.39555, 78.66102), (94.99741, 76.64338), (121.65814, 74.34522), (148.14355, 72.174065), (174.72209, 70.020386)]",-0.05087598164876302,0.09058252970377605,-0.0029457565092426002,0.005244794652626564
0.008750000000000006,"[(42.066742, 80.69723), (68.3819, 78.53204), (94.97502, 76.56513), (121.57226, 74.2595), (148.11835, 72.06313), (174.71388, 69.94246)]",-0.03356297810872396,0.09754562377929688,-0.0019433209547858297,0.005647962887080331
0.009000000000000006,"[(42.027912, 80.64055), (68.34389, 78.397255), (94.870445, 76.408394), (121.50117, 74.164215), (148.08804, 71.966125), (174.67665, 69.85326)]",-0.05334027608235677,0.104949951171875,-0.0030884409574477504,0.0060766788529722756
0.009250000000000006,"[(42.026806, 80.469124), (68.29876, 78.259514), (94.84766, 76.277855), (121.44277, 74.016594), (148.04767, 71.89509), (174.67125, 69.784065)]",-0.028865814208984375,0.12125905354817708,-0.0016713517330779737,0.007020987796563223
0.009500000000000007,"[(42.032345, 80.38665), (68.298584, 78.21563), (94.80379, 76.196655), (121.33059, 73.98069), (147.96866, 71.77686), (174.63574, 69.60516)]",-0.044200897216796875,0.09009806315104167,-0.002559264243580611,0.005216743685254962
