Filename,Sequence #,Rotor,Actuation duration (s),Voltage (V),Phase diff (deg),Freq (Hz),Avg velocity (mm/s),Avg velocity (rpm),Avg velocity (rad/s),Average max torque (mN.m),Pmech (mW)
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_300deg_2.5V_31_5_rot.csv,5,PMMA-4mm,1.2sec,2.5,300,70,-6.343881115254561,-2.0193200757601786,-0.2114627038418187,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_150deg_2.5V_16_2_rot.csv,2,PMMA-4mm,1.2sec,2.5,150,70,7.382140514890196,2.3498083070874483,0.24607135049633985,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_50deg_2.5V_6_4_rot.csv,4,PMMA-4mm,1.2sec,2.5,50,70,10.26276928869719,3.266740924215705,0.34209230962323967,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_290deg_2.5V_30_5_rot.csv,5,PMMA-4mm,1.2sec,2.5,290,70,-7.852367011486237,-2.499486049699537,-0.2617455670495412,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_40deg_2.5V_5_4_rot.csv,4,PMMA-4mm,1.2sec,2.5,40,70,9.074318352954784,2.8884452421245204,0.3024772784318261,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_140deg_2.5V_15_2_rot.csv,2,PMMA-4mm,1.2sec,2.5,140,70,10.739989293648593,3.4186447696764146,0.35799964312161975,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_280deg_2.5V_29_5_rot.csv,5,PMMA-4mm,1.2sec,2.5,280,70,-9.743705667522509,-3.1015178420374463,-0.32479018891741696,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_30deg_2.5V_4_4_rot.csv,4,PMMA-4mm,1.2sec,2.5,30,70,6.970237736783875,2.218695580669638,0.23234125789279583,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_130deg_2.5V_14_2_rot.csv,2,PMMA-4mm,1.2sec,2.5,130,70,13.631686510559993,4.3391005816694665,0.45438955035199974,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_270deg_2.5V_28_5_rot.csv,5,PMMA-4mm,1.2sec,2.5,270,70,-11.071040252963853,-3.5240215628570892,-0.36903467509879506,-1.5400233644043475,0.5683220219275117
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_20deg_2.5V_3_4_rot.csv,4,PMMA-4mm,1.2sec,2.5,20,70,5.3785860795698275,1.712057122817593,0.1792862026523276,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-4mm_1.2sec_70Hz_120deg_2.5V_13_2_rot.csv,2,PMMA-4mm,1.2sec,2.5,120,70,13.882303632510016,4.418874489233088,0.46274345441700054,1.8189021506602592,0.8416850644430399
