Time (s),R_coordinates (px),Delta_x (px),Delta_y (px),Delta_x (mm),Delta_y (mm)
0.0,"[(42.710598, 69.32091), (68.974815, 66.893715), (95.46858, 64.54607), (122.10566, 61.986473), (148.7382, 59.503418), (175.16101, 57.025192)]",0.0,0.0,0.0,0.0
0.00025,"[(42.711647, 69.321754), (68.97236, 66.8918), (95.43439, 64.54851), (122.10281, 61.985477), (148.7078, 59.49512), (175.16237, 57.0232)]",-0.011250178019205729,0.001651763916015625,-0.0006508324247515572,9.555595589175167e-05
0.0005,"[(42.74253, 69.30655), (68.98714, 66.92494), (95.50703, 64.497856), (122.13227, 62.012333), (148.70978, 59.497322), (175.14102, 57.054214)]",0.021399180094401043,-0.0045591990152994795,0.0012379608789086134,-0.00026375356416464635
0.00075,"[(42.742413, 69.30667), (68.97236, 66.8918), (95.46207, 64.51303), (122.10151, 62.019897), (148.79066, 59.47444), (175.14088, 57.050636)]",-0.0016447703043619792,0.0061232248942057295,-9.515136947342633e-05,0.00035423379953558907
0.001,"[(42.69804, 69.35227), (68.98816, 66.92228), (95.43439, 64.54851), (122.10566, 61.986473), (148.70686, 59.49738), (175.16486, 57.029488)]",-0.018655141194661457,-0.013320287068684896,-0.0010792158805911383,-0.000770590004575862
0.00125,"[(42.71411, 69.3211), (68.97626, 66.89588), (95.46016, 64.47916), (122.118744, 62.018253), (148.72115, 59.472187), (175.16101, 57.025192)]",0.008910497029622396,0.02077166239420573,0.0005154798775299844,0.001201658443009784
0.0015,"[(42.745163, 69.30583), (68.97236, 66.8918), (95.40228, 64.51249), (122.10658, 61.990093), (148.741, 59.49971), (175.14351, 57.051567)]",-0.006755828857421875,-0.0066204071044921875,-0.00039083048010229147,-0.00038299621582017323
0.00175,"[(42.711647, 69.321754), (68.97236, 66.8918), (95.47932, 64.52929), (122.10462, 61.98641), (148.68842, 59.46823), (175.14314, 57.0501)]",-0.0018984476725260417,0.0006516774495442709,-0.00010982682228359141,3.770009807122612e-05
0.002,"[(42.711647, 69.321754), (68.97236, 66.8918), (95.468254, 64.546646), (122.10606, 61.988907), (148.70657, 59.437252), (175.16351, 57.03109)]",0.004816691080729167,0.0050220489501953125,0.0002786497004757162,0.0002905298289410879
0.0022500000000000003,"[(42.745163, 69.30583), (68.97009, 66.891045), (95.43432, 64.544334), (122.13089, 62.006386), (148.70753, 59.511566), (175.16026, 57.027252)]",0.0033098856608072915,-0.011494318644205729,0.00019147971761834456,-0.0006649561688094605
0.0025000000000000005,"[(42.731304, 69.33516), (68.9767, 66.89831), (95.44555, 64.53154), (122.13089, 62.006386), (148.74014, 59.502163), (175.14178, 57.05313)]",0.003018061319986979,-0.0067119598388671875,0.00017459742979913207,-0.00038829261984188695
0.0027500000000000007,"[(42.68019, 69.327385), (68.98714, 66.92494), (95.43439, 64.54851), (122.10356, 61.985435), (148.70967, 59.49378), (175.16548, 57.02769)]",-0.014323552449544271,0.003157933553059896,-0.0008286297653138081,0.00018268915816563915
0.003000000000000001,"[(42.678875, 69.32546), (68.98246, 66.92907), (95.43443, 64.544754), (122.10425, 61.98397), (148.7126, 59.49648), (175.15897, 57.02328)]",-0.0014743804931640625,0.0007870992024739584,-8.529417309968134e-05,4.553436235334433e-05
0.003250000000000001,"[(42.711647, 69.321754), (68.974815, 66.893715), (95.4624, 64.5129), (122.10606, 61.988907), (148.74405, 59.502487), (175.14084, 57.05416)]",0.011370976765950521,0.004848480224609375,0.0006578207356135407,0.0002804887296499223
0.0035000000000000014,"[(42.719196, 69.35551), (68.98476, 66.92314), (95.40228, 64.51249), (122.10926, 61.98779), (148.70895, 59.49847), (175.14, 57.053143)]",-0.012559890747070312,-0.009435653686523438,-0.0007266004267288507,-0.0005458606394878701
0.0037500000000000016,"[(42.718155, 69.35465), (68.97347, 66.88923), (95.49606, 64.510864), (122.071175, 61.99798), (148.72617, 59.473614), (175.16101, 57.025192)]",0.013598759969075521,0.0131683349609375,0.0007866999001419078,0.0007617994451231565
0.004000000000000002,"[(42.711647, 69.321754), (68.97381, 66.893974), (95.49606, 64.510864), (122.10742, 61.98736), (148.73914, 59.5011), (175.16101, 57.025192)]",0.007174173990885417,0.0018812815348307292,0.00041503210403484445,0.00010883374652952009
0.004250000000000002,"[(42.69546, 69.35299), (68.98714, 66.92494), (95.46823, 64.54244), (122.10566, 61.986473), (148.7382, 59.503418), (175.14363, 57.05518)]",-0.008460362752278646,-0.020867029825846355,-0.0004894392244232254,-0.0012071755305324025
0.004500000000000002,"[(42.710598, 69.32091), (68.97626, 66.89588), (95.46858, 64.54607), (122.10566, 61.986473), (148.79066, 59.47444), (175.13905, 57.054176)]",0.008748372395833334,0.014582951863606771,0.0005061008287415331,0.0008436362433753303
0.0047500000000000025,"[(42.72154, 69.35508), (68.97236, 66.8918), (95.46207, 64.51303), (122.07398, 62.001713), (148.73914, 59.5011), (175.1416, 57.055126)]",-0.013355255126953125,-0.006650288899739583,-0.0007726129366674887,-0.000384724903243927
0.005000000000000003,"[(42.711647, 69.321754), (68.982086, 66.87792), (95.50125, 64.51203), (122.13122, 62.006386), (148.74467, 59.499733), (175.16263, 57.02854)]",0.020470301310221355,0.011913299560546875,0.0011842244464383097,0.0006891945733254976
0.005250000000000003,"[(42.704334, 69.31033), (68.982086, 66.87792), (95.47396, 64.501076), (122.10275, 61.988174), (148.75655, 59.472477), (175.14255, 57.054092)]",-0.011879603068033854,0.0070489247639973955,-0.000687245202400839,0.0004077863290884722
0.005500000000000003,"[(42.719196, 69.35551), (68.97381, 66.893974), (95.50243, 64.544266), (122.07397, 61.999016), (148.7078, 59.49512), (175.1442, 57.055466)]",-0.006805419921875,-0.023212432861328125,-0.00039369936561405304,-0.0013428591030053324
